model,brand,year,transmission,mileage,fuel_type,price
Mahindra Jeep CL550,Mahindra,2018,Manual,588,Diesel,385000
Toyota Etios,Toyota,2011,Manual,36000,Diesel,275000
Volkswagen Polo,Volkswagen,2015,Manual,38000,Diesel,330000
Honda City ZX,Honda,2008,Manual,45000,Petrol,110000
Maruti Suzuki Wagon,Maruti,2006,Manual,71200,Petrol,80000
Honda City VX,Honda,2016,Manual,52000,Diesel,519000
Mahindra Thar CRDe,Mahindra,2016,Manual,29000,Diesel,730000
Mitsubishi Pajero Sport,Mitsubishi,2015,Manual,47000,Diesel,1475000
Audi A4 1.8,Audi,2009,Automatic,47000,Petrol,699000
Mercedes Benz GLA,Mercedes,2015,Manual,20000,Diesel,2000000
Land Rover Freelander,Land,2015,Manual,30000,Diesel,2100000
Renault Kwid RXT,Renault,2017,Automatic,5000,Petrol,340000
Tata Aria Pleasure,Tata,2014,Manual,35000,Diesel,390000
Mercedes Benz B,Mercedes,2014,Manual,31000,Petrol,1400000
Datsun GO T,Datsun,2016,Manual,7000,Petrol,245000
Tata Indigo eCS,Tata,2016,Manual,175430,Diesel,320000
Tata Indigo eCS,Tata,2016,Manual,175400,Diesel,320000
Honda Jazz VX,Honda,2016,Manual,41000,Petrol,450000
Honda Amaze 1.2,Honda,2014,Manual,33000,Petrol,311000
Honda Amaze,Honda,2013,Automatic,46000,Diesel,284999
Honda City,Honda,2012,Manual,45000,Petrol,399999
Honda City,Honda,2015,Manual,39000,Diesel,599999
Honda Amaze,Honda,2015,Manual,22000,Petrol,344999
Audi A4 1.8,Audi,2009,Manual,47000,Petrol,699000
Force Motors Force,Force,2015,Manual,3200,Diesel,580000
Mahindra Scorpio S4,Mahindra,2015,Manual,30000,Diesel,855000
Hyundai i20 Active,Hyundai,2015,Manual,37000,Diesel,535000
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Maruti Suzuki Ciaz,Maruti,2017,Manual,14000,Petrol,699000
Chevrolet Tavera Neo,Chevrolet,2013,Manual,55000,Diesel,375000
Honda Amaze,Honda,2013,Manual,46000,Diesel,284999
Hyundai Eon Sportz,Hyundai,2012,Manual,30000,Petrol,178000
Tata Sumo Gold,Tata,2013,Manual,50000,Diesel,300000
Maruti Suzuki Wagon,Maruti,2003,Manual,45000,Petrol,90000
Maruti Suzuki Esteem,Maruti,2006,Manual,45000,Petrol,95000
Maruti Suzuki Eeco,Maruti,2015,Manual,9300,Petrol,255000
Chevrolet Enjoy 1.4,Chevrolet,2013,Manual,55000,Diesel,245000
Hyundai i20 Asta,Hyundai,2012,Manual,36200,Diesel,329500
Ford Figo Diesel,Ford,2014,Manual,50000,Diesel,195000
Maruti Suzuki Eeco,Maruti,2015,Automatic,55000,Petrol,251111
Maruti Suzuki Ertiga,Maruti,2014,Manual,45000,Petrol,569999
Maruti Suzuki Esteem,Maruti,2007,Manual,51000,Petrol,69999
Maruti Suzuki Ritz,Maruti,2014,Manual,19000,Petrol,299999
Maruti Suzuki Dzire,Maruti,2009,Manual,46000,Petrol,220000
Maruti Suzuki Ritz,Maruti,2013,Manual,33000,Diesel,399999
Maruti Suzuki SX4,Maruti,2010,Manual,36000,Petrol,249999
Maruti Suzuki Wagon,Maruti,2015,Manual,22000,Petrol,289999
Mini Cooper S,Mini,2013,Manual,13500,Petrol,1891111
Nissan Terrano XL,Nissan,2015,Manual,60000,Diesel,499999
Renault Duster 85,Renault,2013,Manual,27000,Diesel,489999
Renault Duster 85,Renault,2014,Manual,59000,Diesel,489999
Renault Duster 85,Renault,2015,Manual,19000,Diesel,549999
Maruti Suzuki Dzire,Maruti,2013,Manual,30000,Petrol,380000
Renault Kwid RXT,Renault,2018,Manual,15000,Petrol,325000
Maruti Suzuki Maruti,Maruti,2003,Manual,56758,Petrol,57000
Renault Kwid 1.0,Renault,2018,Manual,10000,Petrol,349999
Renault Lodgy 85,Renault,2018,Manual,20000,Diesel,689999
Renault Scala RxL,Renault,2014,Manual,49000,Diesel,349999
Hyundai Grand i10,Hyundai,2014,Manual,41000,Petrol,410000
Maruti Suzuki Swift,Maruti,2011,Manual,45000,Petrol,225000
Chevrolet Beat LS,Chevrolet,2010,Manual,43000,Petrol,120000
Tata Indigo eCS,Tata,2016,Manual,175430,Diesel,320000
Hyundai Santro Xing,Hyundai,2000,Automatic,56450,Petrol,59000
Hyundai Fluidic Verna,Hyundai,2015,Manual,38000,Diesel,540000
Chevrolet Beat LS,Chevrolet,2010,Manual,56000,Petrol,80000
Mahindra Quanto C8,Mahindra,2013,Manual,37000,Diesel,340000
Fiat Petra ELX,Fiat,2008,Manual,65000,Petrol,75000
Chevrolet Beat LS,Chevrolet,2015,Manual,32700,Petrol,220000
Skoda Fabia 1.2L,Skoda,2011,Manual,38200,Diesel,159500
Ford EcoSport Titanium,Ford,2016,Manual,30000,Diesel,599000
Hyundai Accent GLX,Hyundai,2006,Manual,56000,Petrol,80000
Mahindra TUV300 T4,Mahindra,2016,Manual,9000,Diesel,675000
Mini Cooper S,Mini,2013,Automatic,13000,Petrol,1891111
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Tata Indica V2,Tata,2008,Automatic,11000,Petrol,150000
Mini Cooper S,Mini,2013,Manual,13000,Petrol,1891111
Tata Indigo CS,Tata,2009,Manual,46000,Diesel,72500
Maruti Suzuki Swift,Maruti,2019,Manual,73,Petrol,610000
Mahindra Scorpio VLX,Mahindra,2004,Manual,160000,Diesel,230000
Honda Accord,Honda,2009,Manual,58559,Petrol,175000
Mahindra Scorpio S4,Mahindra,2015,Manual,30000,Diesel,855000
Chevrolet Tavera Neo,Chevrolet,2013,Manual,55000,Diesel,375000
Ford EcoSport Titanium,Ford,2014,Manual,57000,Diesel,520000
Maruti Suzuki Ertiga,Maruti,2015,Manual,50000,Diesel,524999
Honda Amaze,Honda,2014,Manual,37000,Petrol,299999
Maruti Suzuki Dzire,Maruti,2012,Manual,40000,Petrol,299999
Honda City,Honda,2011,Manual,55000,Petrol,284999
Mahindra Scorpio 2.6,Mahindra,2007,Manual,170000,Diesel,220000
Maruti Suzuki Dzire,Maruti,2014,Manual,55000,Diesel,424999
Honda City,Honda,2015,Manual,39000,Petrol,644999
Honda Mobilio,Honda,2014,Manual,44000,Petrol,399999
Toyota Corolla Altis,Toyota,2009,Manual,65000,Petrol,199999
Honda City,Honda,2014,Manual,39000,Petrol,584999
Skoda Laura,Skoda,2012,Manual,44000,Diesel,349999
Renault Duster,Renault,2015,Manual,49000,Diesel,449999
Maruti Suzuki Ertiga,Maruti,2018,Manual,9000,Diesel,799999
Maruti Suzuki Dzire,Maruti,2015,Manual,45000,Diesel,444999
Mahindra XUV500,Mahindra,2014,Manual,47000,Diesel,649999
Hyundai Verna Fluidic,Hyundai,2012,Manual,40000,Diesel,444999
Maruti Suzuki Vitara,Maruti,2016,Manual,29000,Diesel,689999
Maruti Suzuki Wagon,Maruti,2016,Automatic,15000,Petrol,344999
Mahindra Scorpio,Mahindra,2015,Manual,45000,Diesel,944999
Honda Amaze,Honda,2014,Manual,35000,Petrol,274999
Mahindra XUV500,Mahindra,2013,Manual,80000,Diesel,689999
Mahindra Scorpio,Mahindra,2013,Manual,68000,Diesel,574999
Skoda Laura,Skoda,2013,Manual,50000,Diesel,374999
Volkswagen Polo,Volkswagen,2010,Manual,60000,Diesel,199999
Hyundai Elite i20,Hyundai,2016,Manual,9000,Petrol,549999
Tata Manza Aura,Tata,2012,Manual,72000,Diesel,130000
Chevrolet Sail UVA,Chevrolet,2013,Manual,60000,Petrol,210000
Renault Duster 110,Renault,2012,Automatic,38000,Diesel,501000
Hyundai Verna Fluidic,Hyundai,2013,Manual,45000,Diesel,401000
Audi A4 2.0,Audi,2012,Manual,40000,Diesel,1350000
Hyundai Elantra SX,Hyundai,2013,Manual,20000,Petrol,600000
Mahindra Scorpio VLX,Mahindra,2013,Manual,35000,Diesel,610000
Mahindra KUV100 K8,Mahindra,2016,Manual,20000,Diesel,400000
Renault Scala RxL,Renault,2015,Manual,25000,Diesel,375000
Mahindra Quanto C8,Mahindra,2013,Manual,20000,Diesel,375000
Hyundai Grand i10,Hyundai,2014,Manual,20000,Petrol,365000
Hyundai i20 Active,Hyundai,2015,Manual,18000,Petrol,500000
Mahindra Xylo E4,Mahindra,2012,Manual,35000,Diesel,400000
Hyundai Grand i10,Hyundai,2017,Manual,6821,Petrol,524999
Hyundai i20,Hyundai,2014,Manual,23000,Petrol,449999
Hyundai Eon,Hyundai,2014,Manual,14000,Petrol,174999
Hyundai i10,Hyundai,2012,Manual,38000,Petrol,244999
Hyundai i20 Active,Hyundai,2015,Manual,35000,Diesel,574999
Datsun Redi GO,Datsun,2017,Manual,22000,Petrol,244999
Toyota Etios Liva,Toyota,2011,Manual,41000,Petrol,239999
Hyundai Accent,Hyundai,2010,Automatic,45000,Petrol,99999
Hyundai Verna,Hyundai,2014,Manual,44000,Diesel,489999
Maruti Suzuki Swift,Maruti,2013,Manual,45000,Diesel,324999
Toyota Fortuner,Toyota,2011,Manual,52000,Diesel,1074999
Hyundai i10 Sportz,Hyundai,2012,Manual,34000,Petrol,230000
Mahindra Bolero Power,Mahindra,2018,Automatic,1800,Diesel,699000
Mahindra XUV500,Mahindra,2015,Manual,15000,Diesel,1000000
Honda City 1.5,Honda,2010,Manual,400000,Petrol,240000
Chevrolet Spark LT,Chevrolet,2009,Manual,44000,Petrol,110000
Mahindra Jeep MM,Mahindra,2019,Automatic,60,Diesel,390000
Renault Duster 110PS,Renault,2012,Automatic,35000,Diesel,501000
Mahindra XUV500,Mahindra,2016,Automatic,72000,Diesel,1130000
Tata Indigo eCS,Tata,2014,Automatic,40000,Diesel,250000
Mahindra Bolero SLE,Mahindra,2013,Automatic,80200,Diesel,330000
Force Motors Force,Force,2015,Manual,3200,Diesel,580000
Skoda Rapid Elegance,Skoda,2013,Automatic,48000,Diesel,340000
Tata Vista Quadrajet,Tata,2011,Manual,90000,Diesel,120000
Maruti Suzuki Alto,Maruti,2015,Manual,12000,Petrol,265000
Maruti Suzuki SX4,Maruti,2012,Manual,46000,Diesel,265000
Maruti Suzuki Zen,Maruti,2003,Automatic,69900,Petrol,85000
Mahindra Jeep CL550,Mahindra,2019,Manual,0,Diesel,379000
Hyundai i10 Magna,Hyundai,2011,Manual,45000,Petrol,175000
Maruti Suzuki Alto,Maruti,2015,Automatic,5000,Petrol,219000
Maruti Suzuki Swift,Maruti,2016,Automatic,166000,Diesel,350000
Honda City ZX,Honda,2008,Automatic,42000,Petrol,149000
Mahindra Jeep CL550,Mahindra,2018,Manual,588,Diesel,385000
Mahindra Jeep MM,Mahindra,2006,Automatic,122,Diesel,425000
Chevrolet Beat Diesel,Chevrolet,2017,Manual,62000,Diesel,150000
Honda City 1.5,Honda,2010,Manual,70000,Petrol,225000
Hyundai Verna 1.4,Hyundai,2014,Manual,36000,Petrol,375000
Toyota Innova 2.5,Toyota,2012,Manual,0,Diesel,770000
Maruti Suzuki Maruti,Maruti,1995,Manual,55000,Petrol,30000
Toyota Etios,Toyota,2011,Manual,36000,Diesel,275000
Volkswagen Polo,Volkswagen,2015,Manual,38000,Diesel,330000
Maruti Suzuki Swift,Maruti,2014,Manual,55000,Diesel,335000
Hyundai Elite i20,Hyundai,2015,Manual,20000,Diesel,450000
Maruti Suzuki Swift,Maruti,2012,Manual,40000,Petrol,225000
Maruti Suzuki Versa,Maruti,2004,Automatic,50000,Petrol,80000
Tata Indigo LX,Tata,2016,Automatic,104000,Diesel,130000
Volkswagen Vento Konekt,Volkswagen,2011,Automatic,65000,Diesel,245000
Mercedes Benz C,Mercedes,2002,Manual,41000,Petrol,399000
Maruti Suzuki Ertiga,Maruti,2013,Manual,90000,Diesel,450000
Honda City,Honda,2000,Automatic,80000,Petrol,65000
Hyundai Santro Xing,Hyundai,2006,Manual,46000,Petrol,75000
Maruti Suzuki Omni,Maruti,2001,Manual,70000,Petrol,70000
Hyundai Sonata Transform,Hyundai,2017,Automatic,36469,Diesel,190000
Hyundai Elite i20,Hyundai,2018,Manual,7800,Petrol,600000
Volkswagen Vento Konekt,Volkswagen,2011,Manual,65000,Diesel,245000
Maruti Suzuki Alto,Maruti,2017,Manual,60000,Petrol,240000
Maruti Suzuki Alto,Maruti,2011,Manual,32000,Petrol,155000
Honda Jazz S,Honda,2009,Manual,24695,Petrol,169999
Hyundai Grand i10,Hyundai,2017,Manual,15141,Petrol,450000
Maruti Suzuki Zen,Maruti,2001,Manual,40000,Petrol,40000
Mahindra Scorpio W,Mahindra,2012,Automatic,65000,Diesel,165000
Maruti Suzuki Alto,Maruti,2014,Automatic,22000,Petrol,270000
Hyundai Grand i10,Hyundai,2016,Manual,59910,Diesel,280000
Mahindra XUV500 W8,Mahindra,2012,Automatic,100000,Diesel,560000
Hyundai Creta 1.6,Hyundai,2016,Manual,25000,Petrol,950000
Hyundai i20 Magna,Hyundai,2013,Manual,35000,Petrol,310000
